"Time";"Male";"Fmale";"Total"
"1952";301.7;284.5;586.2
"1961";469.4;431.4;900.8
"1970";784.3;723.9;1508.2
"1979";1115.8;1017.2;2133.0
"1980";1164.0;1069.0;2233.0
"1981";1209.0;1110.0;2319.0
"1982";1256.0;1153.0;2409.0
"1983";1304.0;1198.0;2502.0
"1984";1355.0;1244.0;2599.0
"1985";1408.0;1292.0;2700.0
"1986";1463.0;1342.0;2805.0
"1987";1520.0;1394.0;2914.0
"1988";1579.0;1448.0;3027.0
"1989";1640.0;1504.0;3144.0
"1990";1809.0;1659.0;3468.0
"1991";1931.0;1770.0;3701.0
"1992";2006.0;1838.0;3844.0
"1993";2084.0;1909.0;3993.0
"1994";2160.7;1978.7;4139.4
"1995";2225.8;2038.2;4264.0
"1996";2287.9;2095.1;4383.0
"1997";2352.1;2153.9;4506.0
"1998";2413.2;2209.8;4623.0
"1999";2473.2;2264.8;4738.0
"2000";2501.4;2355.6;4857.0
"2001";2563.7;2414.3;4978.0
"2002";2625.5;2472.5;5098.0
"2003";2693.4;2536.5;5230.0
"2004";2887.0;2710.0;5597.0
"2005";2968.0;2790.0;5758.0
"2006";3058.0;2870.0;5928.0
"2007";3146.0;2960.0;6106.0
"2008";3243.0;3050.0;6293.0
"2009";3340.0;3150.0;6490.0
"2010";3448.0;3250.0;6698.0
"2011";3705.0;3288.0;6993.0
"2012";3935.0;3492.0;7427.0
"2013";4299.0;3815.0;8114.0
"2014";4664.0;4140.0;8804.0
"2015";5061.0;4498.0;9559.0
"2016";5188.0;4610.0;9798.0
"2017";5323.0;4730.0;10053.0
"2018";5458.0;4851.0;10309.0
